donor_code,donor_name,recipient_code,recipient_name,aidtype_code,aid_type,flow_type_code,flow_type_name,year,value,unit_multiplier,currency,prices,one_indicator,last_update
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,10358.889434,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,11983.304386,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,12417.140999,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,11272.42975,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,11102.34573,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1965,9718.196591,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1966,8560.79687,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1967,9350.931069,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1968,7346.191072,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1969,6925.167075,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1970,6852.842344,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1971,7260.484136,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1972,6405.722211,6,USD,constant,ONE.10.206_106,2025-07-18
20003,G7,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1973,6307.631608,6,USD,constant,ONE.10.206_106,2025-07-18
